Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-08,
Filter Frequency,2e+08,
Record Length,125000,
Gating,49.20800% to 50.147200%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH1,CH1 Peak Detect
3.57680e-03,1.64,1.68
3.57688e-03,1.64,1.6
3.57696e-03,1.64,1.68
3.57704e-03,1.64,1.6
3.57712e-03,1.64,1.68
3.57720e-03,1.64,1.6
3.57728e-03,1.64,1.68
3.57736e-03,1.64,1.64
3.57744e-03,1.68,1.68
3.57752e-03,1.68,1.64
3.57760e-03,1.68,1.68
3.57768e-03,1.72,1.64
3.57776e-03,1.72,1.72
3.57784e-03,1.72,1.68
3.57792e-03,1.72,1.76
3.57800e-03,1.72,1.68
3.57808e-03,1.72,1.76
3.57816e-03,1.68,1.68
3.57824e-03,1.68,1.72
3.57832e-03,1.64,1.64
3.57840e-03,1.64,1.76
3.57848e-03,1.64,1.6
3.57856e-03,1.64,1.68
3.57864e-03,1.68,1.6
3.57872e-03,1.64,1.68
3.57880e-03,1.64,1.6
3.57888e-03,1.64,1.68
3.57896e-03,1.6,1.6
3.57904e-03,1.68,1.68
3.57912e-03,1.64,1.6
3.57920e-03,1.64,1.68
3.57928e-03,1.68,1.6
3.57936e-03,1.64,1.68
3.57944e-03,1.68,1.6
3.57952e-03,1.72,1.68
3.57960e-03,1.68,1.64
3.57968e-03,1.68,1.72
3.57976e-03,1.72,1.68
3.57984e-03,1.72,1.72
3.57992e-03,1.68,1.68
3.58000e-03,1.68,1.72
3.58008e-03,1.68,1.64
3.58016e-03,1.64,1.72
3.58024e-03,1.64,1.64
3.58032e-03,1.64,1.72
3.58040e-03,1.64,1.6
3.58048e-03,1.6,1.68
3.58056e-03,1.64,1.6
3.58064e-03,1.64,1.68
3.58072e-03,1.64,1.6
3.58080e-03,1.64,1.68
3.58088e-03,1.64,1.6
3.58096e-03,1.64,1.68
3.58104e-03,1.64,1.6
3.58112e-03,1.64,1.68
3.58120e-03,1.64,1.6
3.58128e-03,1.64,1.68
3.58136e-03,1.68,1.6
3.58144e-03,1.68,1.68
3.58152e-03,1.68,1.6
3.58160e-03,1.68,1.72
3.58168e-03,1.72,1.64
3.58176e-03,1.68,1.72
3.58184e-03,1.68,1.64
3.58192e-03,1.68,1.72
3.58200e-03,1.68,1.68
3.58208e-03,1.64,1.72
3.58216e-03,1.64,1.64
3.58224e-03,1.64,1.72
3.58232e-03,1.64,1.6
3.58240e-03,1.64,1.68
3.58248e-03,1.64,1.56
3.58256e-03,1.6,1.68
3.58264e-03,1.64,1.6
3.58272e-03,1.6,1.68
3.58280e-03,1.6,1.6
3.58288e-03,1.64,1.68
3.58296e-03,1.64,1.6
3.58304e-03,1.64,1.68
3.58312e-03,1.64,1.6
3.58320e-03,1.64,1.68
3.58328e-03,1.68,1.6
3.58336e-03,1.68,1.68
3.58344e-03,1.72,1.6
3.58352e-03,1.68,1.68
3.58360e-03,1.68,1.64
3.58368e-03,1.72,1.72
3.58376e-03,1.72,1.68
3.58384e-03,1.68,1.72
3.58392e-03,1.72,1.68
3.58400e-03,1.68,1.72
3.58408e-03,1.64,1.64
3.58416e-03,1.64,1.72
3.58424e-03,1.6,1.6
3.58432e-03,1.6,1.68
3.58440e-03,1.64,1.6
3.58448e-03,1.6,1.68
3.58456e-03,1.64,1.6
3.58464e-03,1.64,1.68
3.58472e-03,1.64,1.6
3.58480e-03,1.64,1.68
3.58488e-03,1.64,1.6
3.58496e-03,1.64,1.68
3.58504e-03,1.64,1.6
3.58512e-03,1.64,1.68
3.58520e-03,1.64,1.6
3.58528e-03,1.68,1.68
3.58536e-03,1.68,1.6
3.58544e-03,1.68,1.68
3.58552e-03,1.68,1.64
3.58560e-03,1.68,1.72
3.58568e-03,1.68,1.64
3.58576e-03,1.68,1.72
3.58584e-03,1.68,1.64
3.58592e-03,1.68,1.72
3.58600e-03,1.68,1.64
3.58608e-03,1.64,1.72
3.58616e-03,1.64,1.6
3.58624e-03,1.6,1.68
